date,cum_confirmed,recovered,death
01/04/2020,646,310,17
02/04/2020,693,345,18
03/04/2020,722,375,22
04/04/2020,718,416,24
05/04/2020,766,422,29
06/04/2020,860,440,30
07/04/2020,883,515,34
08/04/2020,902,593,39
09/04/2020,962,625,50
10/04/2020,1000,675,57
11/04/2020,1013,729,64
12/04/2020,1022,772,70
13/04/2020,1170,772,70
14/04/2020,1256,830,79
15/04/2020,1381,853,87
16/04/2020,1466,926,94
17/04/2020,1602,955,111
18/04/2020,1670,997,121
19/04/2020,1754,1026,134
20/04/2020,1988,1059,143
21/04/2020,2198,1094,160
22/04/2020,2441,1138,179
23/04/2020,2734,1336,200
24/04/2020,3194,1373,221
25/04/2020,3473,1410,244
26/04/2020,3738,1502,272
27/04/2020,4345,1556,286
28/04/2020,4876,1611,301
29/04/2020,5425,1724,319
30/04/2020,5944,1829,343
01/05/2020,6454,1911,371
02/05/2020,6674,2002,395
03/05/2020,6396,2596,419
04/05/2020,6023,3784,428
05/05/2020,6262,4159,455
06/05/2020,6505,4520,485
07/05/2020,7020,4800,508
08/05/2020,7343,5163,534
09/05/2020,6999,5764,558
10/05/2020,6670,6304,578
11/05/2020,6843,6945,591
12/05/2020,6820,7609,614
13/05/2020,6985,8149,638
14/05/2020,7429,8473,663
15/05/2020,7851,8820,692
16/05/2020,7425,9571,709
17/05/2020,7110,10175,731
18/05/2020,7483,10764,740
19/05/2020,7545,11540,757
20/05/2020,7596,12227,786
21/05/2020,8276,12488,818
22/05/2020,8827,12696,851
23/05/2020,8419,13485,861
24/05/2020,8128,14115,878
25/05/2020,7818,14816,890
26/05/2020,7877,15523,908
27/05/2020,7732,16314,942
28/05/2020,7927,16655,977
29/05/2020,8077,16930,1006
30/05/2020,7281,17864,1036
31/05/2020,6577,18695,1050
01/06/2020,6396,19441,1060
02/06/2020,5913,20381,1082
03/06/2020,5623,21169,1097
04/06/2020,5674,21490,1126
05/06/2020,5665,21864,1159
06/06/2020,5419,22253,1181
07/06/2020,4799,22992,1197
08/06/2020,4571,23657,1208
09/06/2020,4417,24221,1228
10/06/2020,4257,24675,1267
11/06/2020,4268,24870,1280
12/06/2020,4130,25028,1305
13/06/2020,3531,25620,1314
14/06/2020,3052,26090,1329
15/06/2020,2749,26609,1335
16/06/2020,2532,27006,1344
17/06/2020,2535,27404,1357
18/06/2020,2733,27566,1376
19/06/2020,2929,27709,1393
20/06/2020,2858,28205,1404
21/06/2020,2845,28663,1412
22/06/2020,2746,29065,1416
23/06/2020,2645,29399,1425
24/06/2020,2624,29707,1432
25/06/2020,2828,29854,1441
26/06/2020,3162,30008,1446
27/06/2020,3180,30401,1452
28/06/2020,3280,30809,1460
29/06/2020,3166,31225,1470
30/06/2020,3226,31601,1476
01/07/2020,3287,31947,1482
02/07/2020,3552,32163,1495
03/07/2020,3774,32347,1503
04/07/2020,3774,32347,1503
05/07/2020,3220,33408,1508
06/07/2020,3151,33907,1511
07/07/2020,3242,34377,1514
08/07/2020,3164,34902,1523
09/07/2020,3442,35193,1528
